,,,,
,Burnout,Management,Infrastructure,Total in Segment
Full-Time Associate,22,14,21,58
Part-Time Associate,5,0,1,18
Management,3,2,1,8
Full-Time Stower,1,1,2,4
Full-Time Picker/Packer,2,2,3,10
